"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestGetClientDataCorrectLondon","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","13","TestAssignAdminToDepartmentIncorrectClassic","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","12","TestGetChatListByClientIDCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","26","TestCreateUsersAndChats","","2025-10-29","passed","2025-10-29","","APISuite","",""
"","16","TestSendMessageCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","14","TestUpdateClientPersonalDataCorrectClassic","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","13","TestCreateClientCorrectClassic","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","10","TestAuthorizeIncorrectClassic","","2025-10-29","passed","2025-10-29","","AuthSuite","",""
"","0","TestCreateDepartmentCorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","1","TestGetClientDataIncorrectLondon","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
"","10","TestCreateRMChatCorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","16","TestFireAdminFromDepartmentCorrectClassic","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","10","TestGetMessagesIncorrect","","2025-10-29","passed","2025-10-29","","ChatSuite","",""
"","0","TestGetDepartmentsByHeadIDCorrectLondon","","2025-10-29","passed","2025-10-29","","DepartmentSuite","",""
"","10","TestCreateLessonIncorrectClassic","","2025-10-29","passed","2025-10-29","","LessonSuite","",""
"","14","TestCreateLessonCorrectClassic","","2025-10-29","passed","2025-10-29","","LessonSuite","",""
"","12","TestUpdateClientPersonalDataIncorrectClassic","","2025-10-29","passed","2025-10-29","","ClientSuite","",""
